,"Voucher_x000D_
Date",Branch,Sett#,"Entry_x000D_
Details","Amount_x000D_
Debit","Amount_x000D_
Credit","Running_x000D_
Balance",DrCr,column_8
0,03-Apr-2023,    ,23004F,NSE-F&O Obligation for 03/04/23,0.0,12832.19,512968.24,Cr,
1,,,,,,,,, 
2,05-Apr-2023,HO  ,24502M,Obligation For: 2324502M [Equities] Trade Date,0.0,189234.0,702202.24,Cr,
3,,,,03/04/23,,,,,
4,,,,,,,,, 
5,05-Apr-2023,HO  ,24502V,Obligation For: 2324502V [Equities] Trade Date,0.0,57473.46,759675.7,Cr,
6,,,,03/04/23,,,,,
7,,,,,,,,, 
8,06-Apr-2023,HO  ,,Inter Segment Balance Transfer From BSE  To  NFO,0.0,326925.31,1086601.01,Cr,
9,,,,Of Client,,,,,
10,,,,,,,,, 
11,06-Apr-2023,HO  ,,AXIS BANK LTD-BSE CASH CLIENT A/C       ,439470.53,0.0,647130.48,Cr,
12,,,,BEING FUNDS PAY OUT VIA,,,,,
13,,,,,,,,, 
14,06-Apr-2023,HO  ,,Inter Segment Balance Transfer From BSE  To  NFO,326925.31,0.0,320205.17,Cr,
15,,,,Of Client,,,,,
16,,,,,,,,, 
17,06-Apr-2023,HO  ,24503M,Obligation For: 2324503M [Equities] Trade Date,201896.97,0.0,118308.19999999998,Cr,
18,,,,05/04/23,,,,,
19,,,,,,,,, 
20,10-Apr-2023,HO  ,24504M,Obligation For: 2324504M [Equities] Trade Date,118308.2,0.0,1.4551915228366852e-11,Dr,
21,,,,06/04/23,,,,,
22,,,,,,,,, 
23,11-Apr-2023,HO  ,,AXIS BANK LTD-BSE CASH CLIENT A/C       ,0.0,450000.0,450000.0,Cr,
24,,,,Cheque# :RTGS dated 11/04/23,,,,,
25,,,,RTGS/IDIBR52023041133071339/KEYNOTE CORPORATE SE,,,,,
26,,,,Bank# :INDIAN BANK,,,,,
27,,,,A/c # :416199990,,,,,
28,,,,,,,,, 
29,11-Apr-2023,HO  ,23025O,Obligation For: 2023025O [BSE] Trade Date 10/04/23,62.6,0.0,449937.4,Cr,
30,,,,,,,,, 
31,11-Apr-2023,HO  ,23027X,Obligation For: 2023027X [NSE] Trade Date 10/04/23,94.5,0.0,449842.9,Cr,
32,,,,,,,,, 
33,12-Apr-2023,HO  ,,Inter Segment Balance Transfer From BSE  To  NFO,0.0,350000.0,799842.9,Cr,
34,,,,Of Client,,,,,
35,,,,,,,,, 
36,12-Apr-2023,HO  ,,Inter Segment Balance Transfer From BSE  To  NFO,350000.0,0.0,449842.9,Cr,
