,trading_symbol,exchange,exchange_token
0,AARTIDRUGS,NSE,4481
1,AAVAS,NSE,5385
2,ABB,NSE,13
3,ABCAPITAL,NSE,21614
4,ABREL,NSE,625
5,ACC,NSE,22
6,ADANIENSOL,NSE,10217
7,ADANIENT,NSE,25
8,ADANIPORTS,NSE,15083
9,ADANIPOWER,NSE,17388
10,ADSL,NSE,14813
11,AEGISLOG,NSE,40
12,AETHER,NSE,9810
13,AJANTPHARM,NSE,8124
14,ALKEM,NSE,11703
15,ALOKINDS,NSE,17675
16,ANANTRAJ,NSE,13620
17,APLLTD,NSE,25328
18,APOLLO,NSE,1134
19,ASHAPURMIN,NSE,203
20,ASIANPAINT,NSE,236
21,ATGL,NSE,6066
22,ATUL,NSE,263
23,AUBANK,NSE,21238
24,AUROPHARMA,NSE,275
25,AXISBANK,NSE,5900
26,BAJAJ-AUTO,NSE,16669
27,BAJAJFINSV,NSE,16675
28,BAJAJHIND,NSE,308
29,BAJAJHLDNG,NSE,305
30,BAJFINANCE,NSE,317
31,BALKRISIND,NSE,335
32,BALUFORGE,NSE,23607
33,BANDHANBNK,NSE,2263
34,BANKBARODA,NSE,4668
35,BANKINDIA,NSE,4745
36,BATAINDIA,NSE,371
37,BBL,NSE,13761
38,BDL,NSE,2144
39,BEL,NSE,383
40,BERGEPAINT,NSE,404
41,BHAGERIA,NSE,13400
42,BHARATFORG,NSE,422
43,BHARATRAS,NSE,3834
44,BHARATWIRE,NSE,16123
45,BHARTIARTL,NSE,10604
46,BIRLACORPN,NSE,480
47,BOSCHLTD,NSE,2181
48,BPCL,NSE,526
49,BRITANNIA,NSE,547
50,BSOFT,NSE,6994
51,BUTTERFLY,NSE,2716
52,CANBK,NSE,10794
53,CANTABIL,NSE,20160
54,CAPACITE,NSE,21749
55,CDSL,NSE,21174
56,CHEMPLASTS,NSE,5449
57,CHOLAFIN,NSE,685
58,CIEINDIA,NSE,14937
59,CIGNITITEC,NSE,5142
60,CIPLA,NSE,694
61,COALINDIA,NSE,20374
62,COCHINSHIP,NSE,21508
63,COLPAL,NSE,15141
64,CONCOR,NSE,4749
65,CONFIPET,NSE,10238
66,COROMANDEL,NSE,739
67,CPSEETF,NSE,2328
68,CUB,NSE,5701
69,CUMMINSIND,NSE,1901
70,CYIENT,NSE,5748
71,DABUR,NSE,772
72,DCMSHRIRAM,NSE,811
73,DEEPAKFERT,NSE,827
74,DEEPAKNTR,NSE,19943
75,DELHIVERY,NSE,9599
76,DELTACORP,NSE,15044
77,DHANI,NSE,15384
78,DIVGIITTS,NSE,14479
79,DIVISLAB,NSE,10940
80,DMART,NSE,19913
81,DREAMFOLKS,NSE,10859
82,DRREDDY,NSE,881
83,EASEMYTRIP,NSE,2792
84,EICHERMOT,NSE,910
85,ELECON,NSE,13643
86,ELIN,NSE,13423
87,EMBDL,NSE,14450
88,EMSLIMITED,NSE,18593
89,EPIGRAL,NSE,5382
90,ESCORTS,NSE,958
91,EXIDEIND,NSE,676
92,FEDERALBNK,NSE,1023
93,FILATEX,NSE,24532
94,FOODSIN,NSE,6673
95,FORCEMOT,NSE,11573
96,GAIL,NSE,4717
97,GANDHAR,NSE,20303
98,GANESHBE,NSE,5614
99,GICRE,NSE,277
100,GILLETTE,NSE,1576
101,GLAND,NSE,1186
102,GMMPFAUDLR,NSE,1570
103,GOCLCORP,NSE,3963
104,GODREJAGRO,NSE,144
105,GODREJCP,NSE,10099
106,GODREJPROP,NSE,17875
107,GOLDIAM,NSE,11971
108,GPTHEALTH,NSE,22846
109,GPTINFRA,NSE,17685
110,GRASIM,NSE,1232
111,GRAVITA,NSE,20534
112,GRWRHITECH,NSE,7982
113,GTPL,NSE,21195
114,GUFICBIO,NSE,11606
115,GUJALKALI,NSE,1267
116,GULPOLY,NSE,6286
117,HAL,NSE,2303
118,HBLENGINE,NSE,13966
119,HCC,NSE,1375
120,HCLTECH,NSE,7229
121,HDFCBANK,NSE,1333
122,HDFCLIFE,NSE,467
123,HEG,NSE,1336
124,HEROMOTOCO,NSE,1348
125,HESTERBIO,NSE,7048
126,HFCL,NSE,21951
127,HGINFRA,NSE,1672
128,HGS,NSE,14712
129,HINDALCO,NSE,1363
130,HINDPETRO,NSE,1406
131,HINDUNILVR,NSE,1394
132,HINDZINC,NSE,1424
133,HONAUT,NSE,3417
134,HPL,NSE,18679
135,HUDCO,NSE,20825
136,ICICIBANK,NSE,4963
137,ICICIGI,NSE,21770
138,IDBI,NSE,1476
139,IDEA,NSE,14366
140,IDFCFIRSTB,NSE,11184
141,IFBIND,NSE,1485
142,IGL,NSE,11262
143,IGPL,NSE,14086
144,IMFA,NSE,19235
145,INDHOTEL,NSE,1512
146,INDIACEM,NSE,1515
147,INDIAMART,NSE,10726
148,INDIANB,NSE,14309
149,INDIGO,NSE,11195
150,INDUSINDBK,NSE,5258
151,INDUSTOWER,NSE,29135
152,INFY,NSE,1594
153,INTELLECT,NSE,5926
154,IOB,NSE,9348
155,IOC,NSE,1624
156,IONEXCHANG,NSE,1630
157,IPCALAB,NSE,1633
158,IPL,NSE,4934
159,IRCTC,NSE,13611
160,ITC,NSE,1660
161,JBCHEPHARM,NSE,1726
162,JINDALPOLY,NSE,1756
163,JINDALSTEL,NSE,6733
164,JIOFIN,NSE,18143
165,JKIL,NSE,15266
166,JSWSTEEL,NSE,11723
167,JUBLFOOD,NSE,18096
168,KCPSUGIND,NSE,4809
169,KIRLOSIND,NSE,19025
170,KOPRAN,NSE,1919
171,KOTAKBANK,NSE,1922
172,KPEL,NSE,27079
173,KPIGREEN,NSE,5108
174,KRBL,NSE,10577
175,LALPATHLAB,NSE,11654
176,LAOPALA,NSE,14423
177,LAURUSLABS,NSE,19234
178,LICHSGFIN,NSE,1997
179,LICI,NSE,9480
180,LIQUID,NSE,17572
181,LIQUIDBEES,NSE,11006
182,LIQUIDCASE,NSE,21750
183,LLOYDSME,NSE,17313
184,LMW,NSE,1979
185,LODHA,NSE,3220
186,LT,NSE,11483
187,LTF,NSE,24948
188,LTFOODS,NSE,13816
189,LTIM,NSE,17818
190,LTTS,NSE,18564
191,LUPIN,NSE,10440
192,M&M,NSE,2031
193,MAFANG,NSE,3507
194,MAHLOG,NSE,385
195,MANAPPURAM,NSE,19061
196,MANGCHEFER,NSE,15007
197,MANORG,NSE,6422
198,MAPMYINDIA,NSE,7227
199,MARICO,NSE,4067
200,MARUTI,NSE,10999
201,MATRIMONY,NSE,21726
202,MAXHEALTH,NSE,22377
203,MAZDOCK,NSE,509
204,MCX,NSE,31181
205,MEDANTA,NSE,11956
206,MEDICO,NSE,9667
207,MEDPLUS,NSE,7254
208,METROPOLIS,NSE,9581
209,MFSL,NSE,2142
210,MOL,NSE,5394
211,MON100,NSE,22739
212,MOTILALOFS,NSE,14947
213,MPHASIS,NSE,4503
214,MTARTECH,NSE,2709
215,MUNJALSHOW,NSE,2307
216,NATIONALUM,NSE,6364
217,NAVA,NSE,4014
218,NAVNETEDUL,NSE,2385
219,NMDC,NSE,15332
220,NTPC,NSE,11630
221,NYKAA,NSE,6545
222,OAL,NSE,10768
223,ONGC,NSE,2475
224,ONWARDTEC,NSE,2481
225,PAGEIND,NSE,14413
226,PAISALO,NSE,25468
227,PARAS,NSE,5911
228,PAYTM,NSE,6705
229,PDSL,NSE,5264
230,PEL,NSE,2412
231,PETRONET,NSE,11351
232,PFC,NSE,14299
233,PGHL,NSE,940
234,PIDILITIND,NSE,2664
235,PIIND,NSE,24184
236,PNB,NSE,10666
237,POLICYBZR,NSE,6656
238,POLYCAB,NSE,9590
239,POWERGRID,NSE,14977
240,PPLPHARMA,NSE,11571
241,PREMEXPLN,NSE,17397
242,PRICOLLTD,NSE,19631
243,PSPPROJECT,NSE,20877
244,PSUBNKBEES,NSE,15032
245,PUNJABCHEM,NSE,4344
246,PYRAMID,NSE,18250
247,QUICKHEAL,NSE,13116
248,RAIN,NSE,15337
