,trading_symbol,exchange,exchange_token
12628,011NSETEST,NSE,14747
12631,021NSETEST,NSE,14751
12624,031NSETEST,NSE,14753
12627,041NSETEST,NSE,14755
12634,051NSETEST,NSE,14758
12555,061NSETEST,NSE,14762
12558,071NSETEST,NSE,14764
12571,081NSETEST,NSE,14767
12574,091NSETEST,NSE,14769
12565,101NSETEST,NSE,14772
12568,111NSETEST,NSE,14774
12621,11NSETEST,NSE,12841
12582,121NSETEST,NSE,14777
12584,131NSETEST,NSE,14778
12575,141NSETEST,NSE,14781
12578,151NSETEST,NSE,14782
12538,161NSETEST,NSE,14784
12534,171NSETEST,NSE,23446
12537,181NSETEST,NSE,23447
16849,20MICRONS,NSE,16921
6046,360ONE,NSE,13061
71983,3IINFOLTD,NSE,6232
44387,3MINDIA,NSE,474
50199,5PAISA,NSE,445
54948,63MOONS,NSE,11868
68542,AAATECH,NSE,12533
7786,AADHARHFC,NSE,23729
5138,AAKASH,NSE,235
68090,AAREYDRUGS,NSE,5245
55583,AARON,NSE,1030
20278,AARTIDRUGS,NSE,4481
27713,AARTIIND,NSE,7
46058,AARTIPHARM,NSE,13868
83420,AARTISURF,NSE,19233
8910,AARVI,NSE,19073
40215,AAVAS,NSE,5385
68352,ABB,NSE,13
57914,ABBOTINDIA,NSE,17903
30772,ABCAPITAL,NSE,21614
37227,ABDL,NSE,24308
81664,ABFRL,NSE,30108
67941,ABGSEC,NSE,24404
74983,ABINFRA,NSE,27020
86342,ABMINTLLTD,NSE,5549
73622,ABREL,NSE,625
64900,ABSLAMC,NSE,6018
68141,ABSLBANETF,NSE,13987
68950,ABSLLIQUID,NSE,14518
67844,ABSLNN50ET,NSE,7339
68605,ABSLPSE,NSE,23806
34399,ACC,NSE,22
66074,ACCELYA,NSE,7053
47593,ACCURACY,NSE,1465
82720,ACE,NSE,13587
21466,ACEINTEG,NSE,11779
25369,ACI,NSE,12024
65325,ACL,NSE,15420
23406,ACLGATI,NSE,13688
16388,ACMESOLAR,NSE,27061
60042,ADANIENSOL,NSE,10217
75565,ADANIENT,NSE,25
39992,ADANIGREEN,NSE,3563
