,event_date,cashflow,portfolio
0,2022-04-03,5000000.0,0.0
1,2022-04-30,0.0,4686374.26
2,2022-05-31,0.0,4135937.8400000003
3,2022-06-16,-999717.42,0.0
4,2022-06-19,1000000.0,0.0
5,2022-06-30,0.0,4001649.0999999996
6,2022-07-13,500000.0,0.0
7,2022-07-20,125000.0,0.0
8,2022-07-31,0.0,5249439.269999999
9,2022-08-31,0.0,5313761.1
10,2022-09-30,0.0,5476506.890000001
11,2022-10-06,-441243.74,0.0
12,2022-10-16,340000.0,0.0
13,2022-10-31,0.0,5412427.169999998
14,2022-11-30,0.0,5439844.400000001
15,2022-12-31,0.0,5570024.820000001
16,2023-01-05,-489804.6,0.0
17,2023-01-08,500000.0,0.0
18,2023-01-31,0.0,5279432.83
19,2023-02-06,500000.0,0.0
20,2023-02-28,0.0,5290570.750000001
21,2023-03-31,0.0,4889121.08
22,2023-04-05,-439470.53,0.0
23,2023-04-10,450000.0,0.0
24,2023-04-30,0.0,5436726.25
25,2023-05-31,0.0,5538834.9399999995
26,2023-06-30,0.0,5857616.2
27,2023-07-06,-400000.0,0.0
28,2023-07-09,5400000.0,0.0
29,2023-07-31,0.0,11275335.360000001
30,2023-08-31,0.0,11386356.084
31,2023-09-30,0.0,11227480.050999997
32,2023-10-05,-1950000.0,0.0
33,2023-10-09,1950000.0,0.0
34,2023-10-31,0.0,10923946.58
35,2023-11-30,0.0,12772315.041000001
36,2023-12-20,-1000000.0,0.0
37,2023-12-28,1000000.0,0.0
38,2023-12-31,0.0,14156368.761
39,2024-01-04,-3220000.0,0.0
40,2024-01-07,3220000.0,0.0
41,2024-01-31,0.0,14099045.761000002
42,2024-02-29,0.0,14885653.771000003
43,2024-03-31,0.0,13887686.331
44,2024-04-04,-2225000.0,0.0
45,2024-04-07,2225000.0,0.0
46,2024-04-30,0.0,13600669.490600001
47,2024-05-12,15000000.0,0.0
48,2024-05-31,0.0,30298099.200000003
49,2024-06-30,0.0,29612122.7706
50,2024-07-04,-1828118.97,0.0
51,2024-07-10,1828118.0,0.0
52,2024-07-31,0.0,34688539.75
53,2024-08-31,0.0,35334731.05
54,2024-09-30,0.0,37206500.739999995
55,2024-10-03,-2575000.0,0.0
56,2024-10-07,2575000.0,0.0
57,2024-10-31,0.0,37329842.94
58,2024-11-30,0.0,38411949.099999994
59,2024-12-31,0.0,36337813.4411
60,2025-01-02,-3004558.95,0.0
61,2025-01-05,3000000.0,0.0
62,2025-01-31,0.0,34228292.0
63,2025-02-28,0.0,31398221.101299994
