,buyamt,buyavgrt,buyqty,closerate,costvalue,df_amount,df_qty,fmc_310118,isin,ltpl,ltpl_ntax,ltpl_tax,mktrate,mtmvalue,opamt,opqty,sellamt,sellavgrt,sellqty,share,stock,stpl,sttax
0,648458.4099999999,3395.070209,191,0.0,0.0,0.0,0,218.75,INE423A01024,0.0,0,0.0,0.0,0.0,0.0,0,542502.94,2840.329529,191,[512599] ADANIENT,0,-105955.47,0
1,573040.79,7253.680886,79,0.0,0.0,0.0,0,2822.45,INE100A01010,0.0,0,0.0,0.0,0.0,0.0,0,622485.96,7879.569114,79,[500027] ATULLTD,0,49445.17,0
2,597946.7,5694.730476,105,0.0,0.0,0.0,0,2229.95,INE540L01014,0.0,0,0.0,0.0,0.0,0.0,0,605896.2,5770.44,105,[539523] ALKEM,0,7949.5,0
3,881910.9100000003,228.830023,3854,0.0,0.0,0.0,0,172.8,INE674K01013,0.0,0,0.0,0.0,0.0,0.0,0,872460.27,226.377859,3854,[540691] ABCAPITA,0,-9450.64,0
4,0.0,0.0,0,0.0,0.0,0.0,0,0.0,INE0MGM01017,0.0,0,0.0,0.0,0.0,171005.0,500,142995.0,285.99,500,[209126] ANNAPURN,0,-28010.0,0
5,1636979.85,8394.768462,195,0.0,0.0,0.0,0,2815.0,INE118A01012,0.0,0,0.0,0.0,0.0,0.0,0,1839656.5,9434.135897,195,[500490] BAJAJHOI,0,202676.65,0
6,2485958.15,6810.844247,365,0.0,0.0,0.0,0,1690.0,INE296A01024,0.0,0,0.0,0.0,0.0,0.0,0,2639672.25,7231.978767,365,[500034] BAJFINAN,0,153714.1,0
7,3389842.47,227.613138,14893,212.6,1965890.01,0.0,0,161.8,INE028A01039,0.0,0,0.0,209.35,-60061.12,455396.0,1850,1898394.36,253.254317,7496,[532134] BANKBARO,9247,19045.9,0
8,319592.23,1433.149013,223,0.0,0.0,0.0,0,724.9,INE465A01025,0.0,0,0.0,0.0,0.0,0.0,0,316815.67,1420.698072,223,[500493] BHARATFO,0,-2776.56,0
9,1958962.62,1481.817413,1322,1481.82,1958962.62,0.0,0,446.0,INE397D01024,0.0,0,0.0,1627.3,384655.96,0.0,0,0.0,0.0,0,[532454] BHARTIAR,1322,0.0,0
10,1614516.75,307.820162,5245,0.0,0.0,0.0,0,493.6,INE029A01011,0.0,0,0.0,0.0,0.0,0.0,0,1549377.65,295.400887,5245,[500547] BPCL,0,-65139.1,0
11,0.0,0.0,0,0.0,0.0,0.0,0,1184.5,INE787D01026,0.0,0,0.0,0.0,0.0,154482.33,68,156181.82,2296.791471,68,[502355] BALKRISI,0,1699.49,0
12,492091.48,2764.558876,178,2651.56,392431.18,2052.28,266,1382.45,INE464A01036,-58029.06,0,-58029.06,2606.6,-13308.76,360431.63,118,379233.32,2562.387297,148,[503960] BBL,148,-22829.55,0
13,1226268.6,130.871782,9370,0.0,0.0,0.0,0,71.0,INE417D01020,0.0,0,0.0,0.0,0.0,0.0,0,1123589.35,95.219436,11800,[511628] FEDDERSH,-2430,-333719.45,0
14,595647.36,1772.76,336,0.0,0.0,0.0,0,4863.45,INE918I01026,0.0,0,0.0,0.0,0.0,0.0,0,628696.64,1871.120952,336,[532978] BAJAJFIN,0,33049.28,0
15,369571.94,1905.01,194,0.0,0.0,0.0,0,0.0,INE171Z01026,0.0,0,0.0,0.0,0.0,0.0,0,539374.27,1390.139871,388,[541143] BDL,-194,-99856.53,0
16,364621.51,125.51515,2905,0.0,0.0,0.0,0,352.0,INE476A01022,0.0,0,0.0,0.0,0.0,0.0,0,337334.7,116.1221,2905,[532483] CANBK,0,-27286.81,0
17,1150562.61,1595.787254,721,0.0,0.0,0.0,0,608.5,INE059A01026,0.0,0,0.0,0.0,0.0,0.0,0,1052624.84,1459.951234,721,[500087] CIPLA,0,-97937.77,0
18,168998.56,168.99856,1000,0.0,0.0,0.0,0,164.0,INE491A01021,0.0,0,0.0,0.0,0.0,0.0,0,163749.34,163.74934,1000,[532210] CITYUNIO,0,-5249.22,0
19,1168527.23,1266.01,923,0.0,0.0,0.0,0,1324.9,INE121A01024,0.0,0,0.0,0.0,0.0,0.0,0,1148203.02,1243.990271,923,[511243] CHOLAFIN,0,-20324.21,0
20,81208.08,443.76,183,0.0,0.0,0.0,0,304.55,INE522F01014,0.0,0,0.0,0.0,0.0,450780.4,1000,543718.37,459.60978,1183,[533278] COALINDI,0,11729.89,0
21,311382.72,2358.96,132,0.0,0.0,0.0,0,357.9,INE509F01029,0.0,0,0.0,0.0,0.0,0.0,0,276875.75,104.877178,2640,[530843] CUPID,-2508,-296515.49,0
22,821476.3500000001,85.250763,9636,0.0,0.0,0.0,0,34.0,INE552D01024,16391.18,0,16391.18,0.0,0.0,675971.78,8398,1304687.82,72.346003,18034,[526829] CONFIPET,0,-209151.49,0
23,4574962.32,580.06369,7887,599.77,2369691.31,0.0,0,404.7,INE501A01019,0.0,0,0.0,1106.8,4006550.98,1318922.0,2200,6760387.64,1101.75809,6136,[500645] DEEPAKFE,3951,3236194.63,0
24,3484694.75,1888.723442,1845,0.0,0.0,0.0,0,2306.15,INE089A01031,0.0,0,0.0,0.0,0.0,467681.37,77,3889439.41,1382.17463,2814,[500124] DRREDDY,-892,-1158443.89,0
25,365000.61,2588.656809,141,0.0,0.0,0.0,0,284.0,INE288B01029,0.0,0,0.0,0.0,0.0,0.0,0,380997.29,2702.10844,141,[506401] DEEPAKNI,0,15996.68,0
