,buyamt,buyavgrt,buyqty,closerate,costvalue,df_amount,df_qty,fmc_310118,isin,ltpl,ltpl_ntax,ltpl_tax,mktrate,mtmvalue,opamt,opqty,sellamt,sellavgrt,sellqty,share,stock,stpl,sttax
0,0.0,0.0,0,0.0,0.0,0,0,651.55,INE767A01016,-30425.86,0,-30425.86,0.0,0.0,323563.9500000001,705,277161.6,393.137021,705,[524348] AARTIDR,0,-15976.49,0
1,0.0,0.0,0,0.0,0.0,0,0,1665.0,INE117A01022,0.0,0,0.0,0.0,0.0,69790.51,26,98386.34,3784.09,26,[500002] ABB,0,28595.83,0
2,0.0,0.0,0,0.0,0.0,0,0,1460.8,INE031B01049,0.0,0,0.0,0.0,0.0,33772.8,25,31002.25,1240.09,25,[532331] AJANTPH,0,-2770.55,0
3,69607.89,4971.992143,14,0.0,0.0,0,0,1173.85,INE437A01024,0.0,0,0.0,0.0,0.0,0.0,0,73359.86,5239.99,14,[508869] APOLLOH,0,3751.97,0
4,52971.28,6621.41,8,0.0,0.0,0,0,2822.45,INE100A01010,0.0,0,0.0,0.0,0.0,0.0,0,52976.32,6622.04,8,[500027] ATULLTD,0,5.04,0
5,323545.43,24888.11,13,0.0,0.0,0,0,5650.0,INE358A01014,0.0,0,0.0,0.0,0.0,0.0,0,324611.52,24970.116923,13,[500488] ABBOT,0,1066.09,0
6,0.0,0.0,0,0.0,0.0,0,0,64.25,INE601B01023,0.0,0,0.0,0.0,0.0,-53343.12,-1128,0.0,0.0,0,[519216] AJANTSO,-1128,0.0,0
7,201631.96,1996.35604,101,0.0,0.0,0,0,814.0,INE006I01046,0.0,0,0.0,0.0,0.0,0.0,0,201298.74,1993.056832,101,[532830] ASTRAL,0,-333.22,0
8,414030.6,390.594906,1060,0.0,0.0,0,0,38.25,INE814H01011,0.0,0,0.0,0.0,0.0,0.0,0,589349.9,555.990472,1060,[533096] ADANIPO,0,175319.3,0
9,72939.2,3646.96,20,0.0,0.0,0,0,2229.95,INE540L01014,0.0,0,0.0,0.0,0.0,0.0,0,79187.55,3959.3775,20,[539523] ALKEM,0,6248.35,0
10,0.0,0.0,0,0.0,0.0,0,0,1210.0,INE192R01011,0.0,0,0.0,0.0,0.0,51903.04,14,48872.66,3490.904286,14,[540376] DMART,0,-3030.38,0
11,265162.21,724.486913,366,0.0,0.0,0,0,676.0,INE949L01017,0.0,0,0.0,0.0,0.0,0.0,0,265180.54,724.536995,366,[540611] AUBANK,0,18.33,0
12,52720.8,659.01,80,0.0,0.0,0,0,0.0,INE399L01023,0.0,0,0.0,0.0,0.0,0.0,0,47625.7,595.32125,80,[542066] ATGL,0,-5095.1,0
13,171005.0,342.01,500,342.01,171005.0,0,0,0.0,INE0MGM01017,0.0,0,0.0,0.0,-342010.0,0.0,0,0.0,0.0,0,ANNAPURNA SWADIS,500,0.0,0
14,0.0,0.0,0,0.0,0.0,0,0,2815.0,INE118A01012,0.0,0,0.0,0.0,0.0,33174.95,5,35066.3,7013.26,5,[500490] BAJAJHO,0,1891.35,0
15,706971.75,7441.807895,95,0.0,0.0,0,0,1690.0,INE296A01024,8244.92,0,8244.92,0.0,0.0,42012.22,7,704990.88,6911.675294,102,[500034] BAJFINA,0,-52238.01,0
16,588332.3,237.230766,2480,246.16,455396.0,0,0,161.8,INE028A01039,0.0,0,0.0,264.05,66193.0,128830.2,790,277207.1,195.216268,1420,[532134] BANKBAR,1850,15440.6,0
17,310773.62,835.412957,372,0.0,0.0,0,0,446.0,INE397D01024,0.0,0,0.0,0.0,0.0,23770.6,35,358294.53,880.330541,407,[532454] BHARTIA,0,23750.31,0
18,222382.61,2316.485521,96,2271.8,154482.33,0,0,1184.5,INE787D01026,0.0,0,0.0,2317.35,6194.94,0.0,0,63087.92,2253.14,28,[502355] BALKRIS,68,-4812.36,0
19,258623.07,4171.339839,62,3054.51,360431.63,0,0,1382.45,INE464A01028,62750.55,0,62750.55,6415.5,793194.74,174528.51,96,135470.5,3386.7625,40,[503960] BBL,118,0.0,0
20,0.0,0.0,0,0.0,0.0,0,0,154.25,INE842D01029,0.0,0,0.0,0.0,0.0,39442.48,38,45406.8,119.491579,380,[531862] BHARATA,-342,-34901.26,0
21,0.0,0.0,0,0.0,0.0,0,0,4863.45,INE918I01026,0.0,0,0.0,0.0,0.0,11474.12,7,48981.36,1440.628235,34,[532978] BAJAJFI,-27,-1469.09,0
22,0.0,0.0,0,0.0,0.0,0,0,122.0,INE676A01027,0.0,0,0.0,0.0,0.0,-64284.08,-392,0.0,0.0,0,[500463] BBOX,-392,0.0,0
23,521209.78,160.125892,3255,0.0,0.0,0,0,0.0,INE011E01029,0.0,0,0.0,0.0,0.0,0.0,0,616717.45,189.467727,3255,[531112] BALU FO,0,95507.67,0
24,67615.38,656.46,103,0.0,0.0,0,0,452.6,INE477A01020,0.0,0,0.0,0.0,0.0,0.0,0,74430.32,722.624466,103,[511196] CANFINH,0,6814.94,0
25,0.0,0.0,0,0.0,0.0,0,0,608.5,INE059A01026,0.0,0,0.0,0.0,0.0,10152.09,9,8320.86,924.54,9,[500087] CIPLA,0,-1831.23,0
26,133232.79,2081.762344,64,0.0,0.0,0,0,1142.0,INE259A01022,0.0,0,0.0,0.0,0.0,0.0,0,132479.36,2069.99,64,[500830] COLPAL,0,-753.43,0
27,175611.95,798.236136,220,0.0,0.0,0,0,296.5,INE675C01017,0.0,0,0.0,0.0,0.0,18256.05,30,215964.15,863.8566,250,[534758] CIGNITI,0,22096.15,0
28,584160.25,393.373906,1485,450.78,450780.4,0,0,304.55,INE522F01014,0.0,0,0.0,434.1,-33360.8,0.0,0,138220.15,284.99,485,[533278] COALIND,1000,4840.3,0
29,225602.5,1367.287879,165,0.0,0.0,0,0,546.5,INE704P01017,0.0,0,0.0,0.0,0.0,0.0,0,287210.2,870.333939,330,[540678] COCHINS,-165,-81987.35,0
30,594624.37,84.619947,7027,80.49,675971.78,0,0,34.0,INE552D01024,46464.25,0,46464.25,84.05,59760.24,148428.41,2596,113545.25,92.69,1225,[526829] CONFIPE,8398,0.0,0
31,81604.0,204.01,400,0.0,0.0,0,0,0.0,INE016Q01014,0.0,0,0.0,0.0,0.0,0.0,0,113596.0,283.99,400,[538734] CEINSYS,0,31992.0,0
32,1318922.0,599.51,2200,599.51,1318922.0,0,0,404.7,INE501A01019,-2126.88,0,-2126.88,504.1,-419804.0,198737.66,326,178332.09,547.030951,326,[500645] DEEPAKF,2200,-18278.69,0
33,1009685.61,5904.594211,171,6073.78,467681.37,0,0,2306.15,INE089A01023,0.0,0,0.0,6157.85,12946.16,22497.8,5,564731.81,5704.361717,99,[500124] DRREDDY,77,229.77,0
34,62821.5,418.81,150,0.0,0.0,0,0,257.6,INE271C01023,0.0,0,0.0,0.0,0.0,0.0,0,64476.0,429.84,150,[532868] DLF,0,1654.5,0
35,154101.2,2201.445714,70,2201.45,154101.2,0,0,919.0,INE600L01024,0.0,0,0.0,2262.85,8596.6,0.0,0,0.0,0.0,0,[539524] LALPATH,70,0.0,0
36,270895.9,6772.3975,40,0.0,0.0,0,0,3835.0,INE935N01020,0.0,0,0.0,0.0,0.0,0.0,0,284658.45,7116.46125,40,[540699] DIXON,0,13762.55,0
37,245392.2,148.722545,1650,149.03,214905.67,0,0,0.0,INE0I3401014,0.0,0,0.0,115.25,-97430.34,0.0,0,35294.72,169.686154,208,[543593] DHAMPUR,1442,4808.19,0
38,41623.99,945.999773,44,0.0,0.0,0,0,0.0,INE753U01022,0.0,0,0.0,0.0,0.0,0.0,0,32142.71,730.516136,44,[543812] DIVGI T,0,-9481.28,0
39,202800.6,3380.01,60,0.0,0.0,0,0,842.0,INE042A01014,0.0,0,0.0,0.0,0.0,0.0,0,187877.0,3131.283333,60,[500495] ESCORTS,0,-14923.6,0
40,0.0,0.0,0,0.0,0.0,0,0,0.0,INE07O001026,0.0,0,0.0,0.0,0.0,-7600.35,-115,32975.1,47.79,690,[543272] EASEMYT,-805,0.0,0
41,412244.15,140.457973,2935,0.0,0.0,0,0,101.9,INE171A01029,0.0,0,0.0,0.0,0.0,48787.43,358,480546.97,145.929842,3293,[500469] FEDERAL,0,19515.39,0
42,0.0,0.0,0,0.0,0.0,0,0,218.75,INE816B01035,0.0,0,0.0,0.0,0.0,-22025.86,-499,0.0,0.0,0,[526227] FILATEX,-499,0.0,0
