,trading_symbol,ltp
0,JINDALSTEL,901.95
1,ELECON,399.15
2,VIMTALABS,1024.65
3,MANGCHEFER,135.69
4,ABREL,1906.7
5,SPANDANA,251.2
6,FORCEMOT,7372.35
7,JKIL,674.35
8,DIVGIITTS,451.0
9,VALIANTORG,247.0
10,ICICIGI,1687.05
11,IOB,42.64
12,IOC,123.69
13,GRAVITA,1668.05
14,CIGNITITEC,1352.35
15,GANESHBE,115.47
16,LICHSGFIN,527.5
17,MATRIMONY,539.05
18,MANORG,417.15
19,GULPOLY,159.05
20,SUDARSCHEM,962.35
21,SHREEPUSHK,300.0
22,GRWRHITECH,3906.7
23,HINDUNILVR,2245.15
24,WENDT,9540.1
25,M&M,2656.8
26,AUROPHARMA,1090.4
27,CYIENT,1251.25
28,MAFANG,112.84
29,LLOYDSME,1125.5
30,TATACONSUM,951.7
31,GMMPFAUDLR,1109.15
32,MAPMYINDIA,1597.35
33,NATIONALUM,186.49
34,NTPC,332.05
35,SBICARD,839.4
36,BANKINDIA,94.4
37,PNB,88.12
38,SBILIFE,1415.8
39,IPL,133.8
40,METROPOLIS,1627.3
41,TRITURBINE,534.0
42,GUFICBIO,354.05
43,PETRONET,281.2
44,BBL,2555.0
45,BHARATWIRE,175.59
46,INDIGO,4600.5
47,CUB,148.25
48,INDHOTEL,746.8
49,BHARATFORG,1061.0
50,MANAPPURAM,203.08
51,ATGL,598.45
52,DCMSHRIRAM,1022.7
53,TATATECH,654.85
54,WELENT,425.85
55,CHOLAFIN,1437.0
56,SYNGENE,679.2
57,PYRAMID,143.06
58,LIQUIDBEES,999.99
59,INDIANB,510.15
60,TATAELXSI,5448.05
61,SCHAEFFLER,3220.55
62,STAR,614.8
63,COLPAL,2470.0
64,GODREJAGRO,747.15
65,LAURUSLABS,567.65
66,ADANIPOWER,507.35
67,DIVISLAB,5564.95
68,DABUR,495.6
69,BAJAJHIND,19.15
70,AARTIDRUGS,356.0
71,SYNCOMF,16.2
72,EASEMYTRIP,11.78
73,HUDCO,179.95
74,SAREGAMA,490.25
75,LUPIN,1980.55
76,TATASTEEL,150.74
77,MOTILALOFS,586.3
78,EXIDEIND,343.45
79,DHANI,57.57
80,NMDC,64.76
81,ABB,5105.55
82,BANDHANBNK,140.14
83,HPL,375.9
84,AAVAS,1704.0
85,SHRIRAMFIN,635.65
86,ABCAPITAL,157.09
87,EMBDL,113.92
88,BDL,1118.85
89,COROMANDEL,1722.45
90,CDSL,1095.85
91,GRASIM,2409.8
92,LTIM,4626.2
93,GICRE,376.35
94,LODHA,1133.2
95,IDBI,73.0
