,accd,accddescr,amtcr,amtdr,branchid,branchname,cheqdt,cheqno,co,idn,narr,p_r,runbal,subcode,subdescr,tt,type,vrdt,vrno,acc_year,date_from,date_to
0,62,blank,0.0,0.0,blank,blank,1899-12-31T18:30:00Z,blank,blank,0,Opening Balance,blank,0.0,CK00000005,blank,blank,A,2022-03-31T18:30:00Z,blank,2223,01-04-2022,31-03-2023
1,62,CLIENTS,5000000.0,0.0,HO,Branch [HO],2022-04-03T18:30:00Z,RTGS,2.0,40,blank,R,5000000.0,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,BC,C,2022-04-03T18:30:00Z,R/00023,2223,01-04-2022,31-03-2023
2,62,CLIENTS,0.0,1209855.9,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,59719,Obligation For: 2223005W [Equities] Trade Date 05/04/22,blank,3790144.1,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-06T18:30:00Z,V223005,2223,01-04-2022,31-03-2023
3,62,CLIENTS,0.0,982039.92,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,64656,Obligation For: 2223006W [Equities] Trade Date 06/04/22,blank,2808104.18,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-07T18:30:00Z,V223006,2223,01-04-2022,31-03-2023
4,62,CLIENTS,0.0,444056.03,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,64832,Obligation For: 2223007W [Equities] Trade Date 07/04/22,blank,2364048.15,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-10T18:30:00Z,V223007,2223,01-04-2022,31-03-2023
5,62,CLIENTS,0.0,457213.48,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,92054,Obligation For: 2223008W [Equities] Trade Date 08/04/22,blank,1906834.67,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-11T18:30:00Z,V223008,2223,01-04-2022,31-03-2023
6,62,CLIENTS,0.0,157346.05,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,63003,Obligation For: 2223009W [Equities] Trade Date 11/04/22,blank,1749488.62,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-12T18:30:00Z,V223009,2223,01-04-2022,31-03-2023
7,62,CLIENTS,0.0,324064.57,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,63272,Obligation For: 2223010W [Equities] Trade Date 12/04/22,blank,1425424.05,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-17T18:30:00Z,V223010,2223,01-04-2022,31-03-2023
8,62,CLIENTS,0.0,77323.19,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,63515,Obligation For: 2223011W [Equities] Trade Date 13/04/22,blank,1348100.86,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-18T18:30:00Z,V223011,2223,01-04-2022,31-03-2023
9,62,CLIENTS,0.0,21348.22,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,8840,"		Inter Segment Balance Transfer From BSE   To   NFO
		Of Client KEYNOTE FINANCIAL SERVICES LTD",blank,1326752.64,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,IE,J,2022-04-18T18:30:00Z,IE00001,2223,01-04-2022,31-03-2023
10,62,CLIENTS,0.0,308960.88,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,63752,Obligation For: 2223012W [Equities] Trade Date 18/04/22,blank,1017791.76,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-19T18:30:00Z,V223012,2223,01-04-2022,31-03-2023
11,62,CLIENTS,0.0,155306.82,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,66415,Obligation For: 2223014W [Equities] Trade Date 20/04/22,blank,862484.94,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-21T18:30:00Z,V223014,2223,01-04-2022,31-03-2023
12,62,CLIENTS,0.0,79339.49,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,66627,Obligation For: 2223015W [Equities] Trade Date 21/04/22,blank,783145.45,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-24T18:30:00Z,V223015,2223,01-04-2022,31-03-2023
13,62,CLIENTS,0.0,74349.1,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,66723,Obligation For: 2223015Z [Equities] Trade Date 21/04/22,blank,708796.35,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-24T18:30:00Z,V223015,2223,01-04-2022,31-03-2023
14,62,CLIENTS,0.0,146495.72,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,66766,Obligation For: 2223016W [Equities] Trade Date 22/04/22,blank,562300.63,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-25T18:30:00Z,V223016,2223,01-04-2022,31-03-2023
15,62,CLIENTS,0.0,367.3,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,66899,Obligation For: 2223017W [Equities] Trade Date 25/04/22,blank,561933.33,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-26T18:30:00Z,V223017,2223,01-04-2022,31-03-2023
16,62,CLIENTS,0.0,2124.22,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,12123,"		Inter Segment Balance Transfer From BSE   To   NFO
		Of Client KEYNOTE FINANCIAL SERVICES LTD",blank,559809.11,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,IE,J,2022-04-26T18:30:00Z,IE00001,2223,01-04-2022,31-03-2023
17,62,CLIENTS,0.0,80241.39,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,67080,Obligation For: 2223018W [Equities] Trade Date 26/04/22,blank,479567.72,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-27T18:30:00Z,V223018,2223,01-04-2022,31-03-2023
