accd,accddescr,amtcr,amtdr,branchid,branchname,cheqdt,cheqno,co,idn,narr,p_r,runbal,subcode,subdescr,tt,type,vrdt,vrno,datefrom,dateto,accyear
62,,0.0,0.0,,,1899-12-31T18:30:00Z,,,0,Opening Balance,,0.0,CK00000005,,,A,2022-03-31T18:30:00Z,,01-04-2022,31-03-2023,2223
62,CLIENTS,5000000.0,0.0,HO,Branch [HO],2022-04-03T18:30:00Z,RTGS,02,40,,R,5000000.0,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,BC,C,2022-04-03T18:30:00Z,R/00023,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,1209855.9,HO,Branch [HO],1899-12-31T18:30:00Z,,02,59719,Obligation For: 2223005W [Equities] Trade Date 05/04/22,,3790144.1,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-06T18:30:00Z,V223005,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,982039.92,HO,Branch [HO],1899-12-31T18:30:00Z,,02,64656,Obligation For: 2223006W [Equities] Trade Date 06/04/22,,2808104.18,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-07T18:30:00Z,V223006,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,444056.03,HO,Branch [HO],1899-12-31T18:30:00Z,,02,64832,Obligation For: 2223007W [Equities] Trade Date 07/04/22,,2364048.15,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-10T18:30:00Z,V223007,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,457213.48,HO,Branch [HO],1899-12-31T18:30:00Z,,02,92054,Obligation For: 2223008W [Equities] Trade Date 08/04/22,,1906834.67,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-11T18:30:00Z,V223008,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,157346.05,HO,Branch [HO],1899-12-31T18:30:00Z,,02,63003,Obligation For: 2223009W [Equities] Trade Date 11/04/22,,1749488.62,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-12T18:30:00Z,V223009,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,324064.57,HO,Branch [HO],1899-12-31T18:30:00Z,,02,63272,Obligation For: 2223010W [Equities] Trade Date 12/04/22,,1425424.05,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-17T18:30:00Z,V223010,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,77323.19,HO,Branch [HO],1899-12-31T18:30:00Z,,02,63515,Obligation For: 2223011W [Equities] Trade Date 13/04/22,,1348100.86,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-18T18:30:00Z,V223011,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,21348.22,HO,Branch [HO],1899-12-31T18:30:00Z,,02,8840,"		Inter Segment Balance Transfer From BSE   To   NFO
		Of Client KEYNOTE FINANCIAL SERVICES LTD",,1326752.64,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,IE,J,2022-04-18T18:30:00Z,IE00001,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,308960.88,HO,Branch [HO],1899-12-31T18:30:00Z,,02,63752,Obligation For: 2223012W [Equities] Trade Date 18/04/22,,1017791.76,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-19T18:30:00Z,V223012,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,155306.82,HO,Branch [HO],1899-12-31T18:30:00Z,,02,66415,Obligation For: 2223014W [Equities] Trade Date 20/04/22,,862484.94,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-21T18:30:00Z,V223014,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,79339.49,HO,Branch [HO],1899-12-31T18:30:00Z,,02,66627,Obligation For: 2223015W [Equities] Trade Date 21/04/22,,783145.45,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-24T18:30:00Z,V223015,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,74349.1,HO,Branch [HO],1899-12-31T18:30:00Z,,02,66723,Obligation For: 2223015Z [Equities] Trade Date 21/04/22,,708796.35,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-24T18:30:00Z,V223015,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,146495.72,HO,Branch [HO],1899-12-31T18:30:00Z,,02,66766,Obligation For: 2223016W [Equities] Trade Date 22/04/22,,562300.63,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-25T18:30:00Z,V223016,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,367.3,HO,Branch [HO],1899-12-31T18:30:00Z,,02,66899,Obligation For: 2223017W [Equities] Trade Date 25/04/22,,561933.33,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-26T18:30:00Z,V223017,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,2124.22,HO,Branch [HO],1899-12-31T18:30:00Z,,02,12123,"		Inter Segment Balance Transfer From BSE   To   NFO
		Of Client KEYNOTE FINANCIAL SERVICES LTD",,559809.11,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,IE,J,2022-04-26T18:30:00Z,IE00001,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,80241.39,HO,Branch [HO],1899-12-31T18:30:00Z,,02,67080,Obligation For: 2223018W [Equities] Trade Date 26/04/22,,479567.72,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-27T18:30:00Z,V223018,01-04-2022,31-03-2023,2223
62,CLIENTS,71693.14,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,67225,Obligation For: 2223018Z [Equities] Trade Date 26/04/22,,551260.86,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-27T18:30:00Z,V223018,01-04-2022,31-03-2023,2223
62,CLIENTS,8299.48,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,92236,Obligation For: 2223019W [Equities] Trade Date 27/04/22,,559560.34,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-28T18:30:00Z,V223019,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,4118.05,HO,Branch [HO],1899-12-31T18:30:00Z,,02,67558,Obligation For: 2223021W [Equities] Trade Date 29/04/22,,555442.29,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-03T18:30:00Z,V223021,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,22066.9,HO,Branch [HO],1899-12-31T18:30:00Z,,02,14021,"		Inter Segment Balance Transfer From BSE   To   NFO
		Of Client KEYNOTE FINANCIAL SERVICES LTD",,533375.39,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,IE,J,2022-05-03T18:30:00Z,IE00001,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,22066.9,HO,Branch [HO],1899-12-31T18:30:00Z,,02,13962,"		Inter Segment Balance Transfer From BSE   To   NFO
		Of Client KEYNOTE FINANCIAL SERVICES LTD",,511308.49,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,IE,J,2022-05-04T18:30:00Z,IE00001,01-04-2022,31-03-2023,2223
62,CLIENTS,0.0,75060.13,HO,Branch [HO],1899-12-31T18:30:00Z,,02,67695,Obligation For: 2223022W [Equities] Trade Date 02/05/22,,436248.36,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-04T18:30:00Z,V223022,01-04-2022,31-03-2023,2223
62,CLIENTS,72874.66,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,67851,Obligation For: 2223023W [Equities] Trade Date 04/05/22,,509123.02,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-05T18:30:00Z,V223023,01-04-2022,31-03-2023,2223
62,CLIENTS,144679.85,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,68037,Obligation For: 2223024W [Equities] Trade Date 05/05/22,,653802.87,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-08T18:30:00Z,V223024,01-04-2022,31-03-2023,2223
62,CLIENTS,207846.86,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,68203,Obligation For: 2223025W [Equities] Trade Date 06/05/22,,861649.73,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-09T18:30:00Z,V223025,01-04-2022,31-03-2023,2223
62,CLIENTS,912433.51,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,,02,68428,Obligation For: 2223026W [Equities] Trade Date 09/05/22,,1774083.24,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-10T18:30:00Z,V223026,01-04-2022,31-03-2023,2223
