broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit,account_id
HD001,finflo,BANKBARODA,27.0,SELL,,ACC_000360
HD001,finflo,GPTINFRA,206.0,SELL,,ACC_000360
HD001,finflo,PNB,62.0,SELL,,ACC_000360
HD001,finflo,BHARTIARTL,3.0,SELL,,ACC_000360
HD001,finflo,SPANDANA,84.0,BUY,,ACC_000360
HD001,finflo,SHRIRAMFIN,6.0,SELL,,ACC_000360
HD001,finflo,PFC,4.0,SELL,,ACC_000360
HD001,finflo,RECLTD,8.0,SELL,,ACC_000360
AM072,keynote,PYRAMID,345.0,SELL,,ACC_000319
AM072,keynote,DEEPAKFERT,248.0,BUY,Total ENTRY,ACC_000319
AM072,keynote,GPTINFRA,463.0,SELL,,ACC_000319
AM072,keynote,LIQUIDBEES,145.0,SELL,Total EXIT,ACC_000319
AM072,keynote,GPTHEALTH,499.0,SELL,,ACC_000319
AM072,keynote,KPIGREEN,18.0,SELL,,ACC_000319
AM072,keynote,BBL,6.0,SELL,,ACC_000319
AM072,keynote,SPANDANA,278.0,SELL,,ACC_000319
AM072,keynote,AXISBANK,21.0,SELL,,ACC_000319
JS055,keynote,PYRAMID,215.0,SELL,,ACC_000530
JS055,keynote,DEEPAKFERT,85.0,SELL,,ACC_000530
JS055,keynote,VEDL,231.0,BUY,,ACC_000530
JS055,keynote,GPTINFRA,116.0,SELL,,ACC_000530
JS055,keynote,VHLTD,1568.0,BUY,Total ENTRY,ACC_000530
JS055,keynote,LIQUIDBEES,1.0,SELL,Total EXIT,ACC_000530
JS055,keynote,GPTHEALTH,304.0,SELL,,ACC_000530
JS055,keynote,KPIGREEN,11.0,BUY,,ACC_000530
JS055,keynote,BBL,2.0,SELL,,ACC_000530
JS055,keynote,SPANDANA,179.0,SELL,,ACC_000530
JS055,keynote,MANGCHEFER,275.0,SELL,,ACC_000530
JS055,keynote,AXISBANK,12.0,SELL,,ACC_000530
ST078,keynote,BANKBARODA,317.0,BUY,Total ENTRY,ACC_000384
ST078,keynote,GPTINFRA,35.0,SELL,,ACC_000384
ST078,keynote,LIQUIDBEES,28.0,SELL,Total EXIT,ACC_000384
ST078,keynote,PNB,36.0,BUY,,ACC_000384
ST078,keynote,SPANDANA,147.0,SELL,,ACC_000384
ST078,keynote,SHRIRAMFIN,15.0,BUY,,ACC_000384
ST078,keynote,PFC,20.0,BUY,,ACC_000384
ST078,keynote,RECLTD,19.0,BUY,,ACC_000384
MB048,keynote,PYRAMID,621.0,SELL,,ACC_000383
MB048,keynote,DEEPAKFERT,54.0,SELL,,ACC_000383
MB048,keynote,VEDL,26.0,SELL,,ACC_000383
MB048,keynote,GPTINFRA,110.0,BUY,,ACC_000383
MB048,keynote,VHLTD,1609.0,BUY,Total ENTRY,ACC_000383
MB048,keynote,GPTHEALTH,180.0,SELL,,ACC_000383
MB048,keynote,KPIGREEN,20.0,SELL,,ACC_000383
MB048,keynote,BBL,7.0,SELL,,ACC_000383
MB048,keynote,SPANDANA,60.0,SELL,,ACC_000383
MB048,keynote,MANGCHEFER,163.0,SELL,,ACC_000383
MB048,keynote,AXISBANK,101.0,BUY,Total ENTRY,ACC_000383
PP079,keynote,PYRAMID,237.0,SELL,,ACC_000345
PP079,keynote,DEEPAKFERT,83.0,SELL,,ACC_000345
PP079,keynote,GPTINFRA,222.0,SELL,,ACC_000345
PP079,keynote,VHLTD,220.0,SELL,Total EXIT,ACC_000345
PP079,keynote,LIQUIDBEES,33.0,SELL,Total EXIT,ACC_000345
PP079,keynote,GPTHEALTH,329.0,SELL,,ACC_000345
PP079,keynote,KPIGREEN,1.0,SELL,,ACC_000345
PP079,keynote,BBL,31.0,BUY,Total ENTRY,ACC_000345
PP079,keynote,SPANDANA,105.0,SELL,,ACC_000345
PP079,keynote,AXISBANK,82.0,BUY,Total ENTRY,ACC_000345
KV001,finflo,BANKBARODA,30.0,BUY,Total ENTRY,ACC_000348
KV001,finflo,GPTINFRA,168.0,BUY,Total ENTRY,ACC_000348
KV001,finflo,PNB,76.0,BUY,Total ENTRY,ACC_000348
KV001,finflo,BHARTIARTL,4.0,BUY,Total ENTRY,ACC_000348
KV001,finflo,SPANDANA,61.0,BUY,Total ENTRY,ACC_000348
KV001,finflo,SHRIRAMFIN,12.0,BUY,Total ENTRY,ACC_000348
KV001,finflo,PFC,192.0,SELL,,ACC_000348
KV001,finflo,RECLTD,18.0,BUY,Total ENTRY,ACC_000348
PK001,finflo,BANKBARODA,28.0,SELL,,ACC_000347
PK001,finflo,GPTINFRA,232.0,SELL,,ACC_000347
PK001,finflo,PNB,45.0,SELL,,ACC_000347
PK001,finflo,BHARTIARTL,5.0,SELL,,ACC_000347
PK001,finflo,SPANDANA,149.0,SELL,,ACC_000347
PK001,finflo,SHRIRAMFIN,4.0,BUY,,ACC_000347
PK001,finflo,PFC,2.0,BUY,,ACC_000347
PK001,finflo,RECLTD,68.0,BUY,,ACC_000347
DS071,keynote,BANKBARODA,5.0,BUY,,ACC_000402
DS071,keynote,GPTINFRA,24.0,SELL,,ACC_000402
DS071,keynote,LIQUIDBEES,1.0,SELL,Total EXIT,ACC_000402
DS071,keynote,PNB,65.0,BUY,,ACC_000402
DS071,keynote,SPANDANA,91.0,SELL,,ACC_000402
DS071,keynote,SHRIRAMFIN,26.0,BUY,,ACC_000402
DS071,keynote,PFC,32.0,BUY,,ACC_000402
DS071,keynote,RECLTD,31.0,BUY,,ACC_000402
TJ001,other,PYRAMID,276.0,SELL,,ACC_000311
TJ001,other,DEEPAKFERT,99.0,SELL,,ACC_000311
TJ001,other,VEDL,77.0,BUY,,ACC_000311
TJ001,other,GPTINFRA,232.0,SELL,,ACC_000311
TJ001,other,VHLTD,1610.0,BUY,Total ENTRY,ACC_000311
TJ001,other,GPTHEALTH,380.0,SELL,,ACC_000311
TJ001,other,KPIGREEN,2.0,BUY,,ACC_000311
TJ001,other,HDFCBANK,50.0,SELL,Total EXIT,ACC_000311
TJ001,other,BBL,4.0,SELL,,ACC_000311
TJ001,other,SPANDANA,244.0,SELL,,ACC_000311
TJ001,other,MANGCHEFER,315.0,SELL,,ACC_000311
TJ001,other,AXISBANK,15.0,SELL,,ACC_000311
MS001,other,PYRAMID,3465.0,SELL,,ACC_000333
MS001,other,DEEPAKFERT,903.0,SELL,,ACC_000333
MS001,other,GPTINFRA,9333.0,BUY,,ACC_000333
MS001,other,GPTHEALTH,5468.0,SELL,,ACC_000333
MS001,other,KPIGREEN,600.0,SELL,,ACC_000333
MS001,other,BBL,92.0,SELL,,ACC_000333
MS001,other,SPANDANA,3926.0,BUY,,ACC_000333
MS001,other,AXISBANK,255.0,SELL,,ACC_000333
VK064,keynote,BANKBARODA,495.0,BUY,Total ENTRY,ACC_000331
VK064,keynote,GPTINFRA,47.0,SELL,,ACC_000331
VK064,keynote,LIQUIDBEES,72.0,SELL,Total EXIT,ACC_000331
VK064,keynote,PNB,59.0,BUY,,ACC_000331
VK064,keynote,SPANDANA,225.0,SELL,,ACC_000331
VK064,keynote,SHRIRAMFIN,26.0,BUY,,ACC_000331
VK064,keynote,PFC,32.0,BUY,,ACC_000331
VK064,keynote,RECLTD,30.0,BUY,,ACC_000331
PS001,finflo,BANKBARODA,183.0,SELL,,ACC_000353
PS001,finflo,GPTINFRA,13.0,SELL,,ACC_000353
PS001,finflo,LIQUIDBEES,4.0,SELL,Total EXIT,ACC_000353
PS001,finflo,PNB,399.0,BUY,Total ENTRY,ACC_000353
PS001,finflo,BHARTIARTL,8.0,SELL,,ACC_000353
PS001,finflo,SPANDANA,5.0,SELL,,ACC_000353
PS001,finflo,SHRIRAMFIN,12.0,SELL,,ACC_000353
PS001,finflo,PFC,5.0,BUY,,ACC_000353
PS001,finflo,RECLTD,8.0,BUY,,ACC_000353
BD024,keynote,PNB,131.0,BUY,,ACC_000317
BD024,keynote,BBL,17.0,BUY,,ACC_000317
BD024,keynote,SHRIRAMFIN,279.0,SELL,,ACC_000317
BD024,keynote,AXISBANK,81.0,SELL,,ACC_000317
BD024,keynote,RECLTD,63.0,BUY,,ACC_000317
BD024,keynote,DEEPAKFERT,144.0,SELL,,ACC_000317
BD024,keynote,SPANDANA,184.0,SELL,,ACC_000317
BD024,keynote,PFC,65.0,BUY,,ACC_000317
BD024,keynote,PYRAMID,466.0,SELL,,ACC_000317
BD024,keynote,BANKBARODA,138.0,BUY,,ACC_000317
BD024,keynote,GPTINFRA,652.0,BUY,,ACC_000317
BD024,keynote,VHLTD,2955.0,BUY,Total ENTRY,ACC_000317
BD024,keynote,KPIGREEN,105.0,BUY,,ACC_000317
BD024,keynote,BHARTIARTL,1.0,BUY,,ACC_000317
BD024,keynote,VEDL,153.0,BUY,,ACC_000317
BD024,keynote,LIQUIDBEES,57.0,SELL,Total EXIT,ACC_000317
BD024,keynote,GPTHEALTH,66.0,SELL,,ACC_000317
BD024,keynote,MANGCHEFER,544.0,SELL,,ACC_000317
KM032,keynote,BANKBARODA,6.0,SELL,,ACC_000392
KM032,keynote,GPTINFRA,1007.0,BUY,Total ENTRY,ACC_000392
KM032,keynote,LIQUIDBEES,71.0,SELL,Total EXIT,ACC_000392
KM032,keynote,PNB,6.0,BUY,,ACC_000392
KM032,keynote,BHARTIARTL,1.0,SELL,,ACC_000392
KM032,keynote,SPANDANA,54.0,SELL,,ACC_000392
KM032,keynote,SHRIRAMFIN,7.0,BUY,,ACC_000392
KM032,keynote,PFC,8.0,BUY,,ACC_000392
KM032,keynote,RECLTD,7.0,BUY,,ACC_000392
RN001,other,PNB,1455.0,BUY,Total ENTRY,ACC_000340
RN001,other,BBL,16.0,BUY,,ACC_000340
RN001,other,SHRIRAMFIN,232.0,BUY,Total ENTRY,ACC_000340
RN001,other,AXISBANK,114.0,BUY,Total ENTRY,ACC_000340
RN001,other,RECLTD,344.0,BUY,Total ENTRY,ACC_000340
RN001,other,DEEPAKFERT,179.0,SELL,,ACC_000340
RN001,other,KPEL,71.0,SELL,Total EXIT,ACC_000340
RN001,other,SPANDANA,3154.0,SELL,,ACC_000340
RN001,other,PFC,353.0,BUY,Total ENTRY,ACC_000340
RN001,other,PYRAMID,587.0,SELL,,ACC_000340
RN001,other,BANKBARODA,581.0,BUY,Total ENTRY,ACC_000340
RN001,other,GPTINFRA,986.0,SELL,,ACC_000340
RN001,other,VHLTD,1804.0,BUY,Total ENTRY,ACC_000340
RN001,other,KPIGREEN,52.0,SELL,,ACC_000340
RN001,other,BHARTIARTL,77.0,BUY,Total ENTRY,ACC_000340
