broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
KS003,other,DEEPAKFERT,63.0,SELL,
KS003,other,GPTHEALTH,2424.0,BUY,Total ENTRY
KS003,other,AXISBANK,118.0,BUY,Total ENTRY
KS003,other,VEDL,193.0,SELL,
KS003,other,GPTINFRA,1059.0,BUY,
KS003,other,KPIGREEN,134.0,BUY,
KS003,other,PYRAMID,1489.0,BUY,Total ENTRY
KS003,other,MANGCHEFER,1954.0,SELL,
KS003,other,GICRE,180.0,SELL,Total EXIT
KS003,other,SHRIRAMFIN,400.0,SELL,Total EXIT
KS003,other,HDFCBANK,78.0,SELL,Total EXIT
KS003,other,BBL,47.0,BUY,Total ENTRY
KS003,other,SPANDANA,1213.0,BUY,Total ENTRY
KS003,other,RECLTD,432.0,SELL,Total EXIT
KS003,other,VHLTD,1905.0,BUY,Total ENTRY
KS003,other,BANKBARODA,687.0,SELL,Total EXIT
KS003,other,BHARTIARTL,292.0,SELL,Total EXIT
