broker_code,broker_name,trading_symbol,quantity,signal,total_entry_exit
BJ018 - RJ040 - RJ111,keynote,SPANDANA,80.0,SELL,
BJ018 - RJ040 - RJ111,keynote,SHRIRAMFIN,31.0,BUY,
BJ018 - RJ040 - RJ111,keynote,MANGCHEFER,335.0,SELL,
BJ018 - RJ040 - RJ111,keynote,VHLTD,1769.0,BUY,Total ENTRY
BJ018 - RJ040 - RJ111,keynote,RECLTD,41.0,BUY,
BJ018 - RJ040 - RJ111,keynote,GPTINFRA,148.0,BUY,
BJ018 - RJ040 - RJ111,keynote,PFC,45.0,BUY,
BJ018 - RJ040 - RJ111,keynote,PNB,106.0,BUY,
BJ018 - RJ040 - RJ111,keynote,GPTHEALTH,2613.0,BUY,Total ENTRY
BJ018 - RJ040 - RJ111,keynote,PYRAMID,61.0,SELL,
BJ018 - RJ040 - RJ111,keynote,AXISBANK,3.0,BUY,
BJ018 - RJ040 - RJ111,keynote,BBL,5.0,BUY,
BJ018 - RJ040 - RJ111,keynote,KPIGREEN,57.0,BUY,
BJ018 - RJ040 - RJ111,keynote,DEEPAKFERT,53.0,SELL,
BJ018 - RJ040 - RJ111,keynote,BHARTIARTL,1.0,SELL,
BJ018 - RJ040 - RJ111,keynote,VEDL,88.0,BUY,
BJ018 - RJ040 - RJ111,keynote,BANKBARODA,13.0,BUY,
BJ018 - RJ040 - RJ111,keynote,LIQUIDBEES,390.0,SELL,Total EXIT
